benchmark comment	environment	database	module	driver	SQL statement	transaction size	bulk length	bulk size	batch size	trials	start day time	end day time	average duration (ns)	average per SQL stmnt (ns)	minimum duaration (ns)	maximum duartion (ns)
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_11_2_xe	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 18:03:13.026060000	2019.11.16 18:08:06.243559000	11218826496	112188	9848064270	13426965802
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_11_2_xe	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 18:03:13.026060000	2019.11.16 18:08:06.243559000	17107836602	171078	16163649506	18639114698
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_12_2_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 18:19:35.795262000	2019.11.16 18:24:43.118196000	5369616767	53696	3345211668	10256780026
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_12_2_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 18:19:35.795262000	2019.11.16 18:24:43.118196000	23411043943	234110	19399091405	30481818796
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_18_3_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 18:38:05.816043000	2019.11.16 18:42:46.907835000	6114647593	61146	3066887041	18607759394
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_18_3_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 18:38:05.816043000	2019.11.16 18:42:46.907835000	20380297123	203803	15809357209	27513592646
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_19_3_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 18:54:43.828818000	2019.11.16 19:00:34.268385000	4887410609	48874	3436423279	8192624741
Standard tests (Travis CI)	amd64 / Linux / 4.15.0-1028-gcp	db_19_3_ee	OraBench (Java 11.0.2)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 18:54:43.828818000	2019.11.16 19:00:34.268385000	28480906854	284809	25492466278	35126433584
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_11_2_xe	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	512	1024	100000	256	10	2019.11.16 21:37:47.305061200	2019.11.16 21:53:26.932437600	45496582450	454966	32607017200	77552787900
Standard tests (locally)	amd64 / Windows 10 / 10.0	db_11_2_xe	OraBench (Java 11.0.5)	JDBC (Version 19.3.0.0.0)	SELECT data FROM ora_bench_table WHERE key = :key	512	1024	100000	256	10	2019.11.16 21:37:47.305061200	2019.11.16 21:53:26.932437600	42399211490	423992	41625898100	43791893200
